Grant,Lead Agency Name,Partner Name,Location Name,Provider Type,Street Address,City,State,Zip Code,Location County Served,Location School District,FY Year End Date,Fiscal Year,Full Day Funded Slots,Half Day Funded Slots,Total Funded Slots,Pre-K Identification Number,Master Provider Identification (MPI) Number,Master Provider ID Service Location Identification Number,Lead Agency Master Provider ID,Georeferenced Latitude & Longitude,State FIPS Code,County FIPS Code
PA PKC,NESHAMINY SCHOOL DISTRICT,BUCKS COUNTY INTERMEDIATE UNIT 22,LOWER SOUTHAMPTON EARLY LEARNING CENTER,HEAD START,7 SCHOOL LN,FEASTERVILLE TREVOSE,PA,19053,BUCKS,NESHAMINY,06/30/2021,FY2020-2021,65,0,65,14312,1403063,14,100965750,POINT (-74.99336 40.15678),42,17
PA PKC,DANVILLE AREA SCHOOL DISTRICT,,DANVILLE PRIMARY CENTER,SCHOOL DISTRICT,931 IRONMEN LN,DANVILLE,PA,17821,MONTOUR,DANVILLE AREA,06/30/2023,FY2022-2023,36,0,36,9884,1305984,4,1305984,POINT (-76.597179033 40.957227992),42,93
PA PKC,EARLY CONNECTIONS INC,,EARLY CONNECTIONS/UNION CITY,CHILD CARE PROVIDER,16380 ROUTE 8,UNION CITY,PA,16438,ERIE,UNION CITY AREA,06/30/2018,FY2017-2018,30,0,30,1040,100164552,7,100164552,POINT (-79.84657 41.88848),42,49
PA PKC,TUNKHANNOCK AREA SCHOOL DIST,CHILD DEVELOPMENT COUNCIL OF NEPA INC,TUNKHANNOCK CHILD DEVELOPMENT CENTER,CHILD CARE PROVIDER,20 2ND ST,TUNKHANNOCK,PA,18657,WYOMING,TUNKHANNOCK AREA,06/30/2016,FY2015-2016,19,0,19,1554,100280631,12,1305993,POINT (-75.944513 41.539483),42,131
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,ASOCIACION PUERTORRIQUENOS EN MARCHA INC,ASOCIACION PUERTORRIQUENOS EN MARCHA,CHILD CARE PROVIDER,4221 N 2ND ST,PHILADELPHIA,PA,19140,PHILADELPHIA,PHILADELPHIA CITY,06/30/2017,FY2016-2017,20,0,20,13161,100311424,39,100137321,POINT (-75.129581 40.015495),42,101
PA PKC,THE LEARNING LAMP INC,,THE LEARNING LAMP CENTER FOR CHILDREN AT GJCTC,LICENSED NURSERY,445 SCHOOLHOUSE RD,JOHNSTOWN,PA,15904,CAMBRIA,FOREST HILLS,06/30/2021,FY2020-2021,18,0,18,3708,101345169,9,101345169,POINT (-78.83127 40.27304),42,21
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,LITTLE PEOPLES VILLAGE LLC,LITTLE PEOPLES VILLAGE,CHILD CARE PROVIDER,904 N 66TH ST,PHILADELPHIA,PA,19151,PHILADELPHIA,PHILADELPHIA CITY,06/30/2016,FY2015-2016,30,0,30,7905,101431131,2,100137321,POINT (-75.252361 39.976965),42,101
PA PKC,KIDDIE PREP ACADEMY LLC,,KIDDIE PREP ACADEMY LLC,CHILD CARE PROVIDER,5843 MARKET ST,PHILADELPHIA,PA,19139,PHILADELPHIA,PHILADELPHIA CITY,06/30/2022,FY2021-2022,20,0,20,13896,102903335,1,102903335,POINT (-75.238354 39.961766),42,101
PA PKC,THE PENNSYLVANIA STATE UNIVERSITY,KINDERCARE EDUCATION AT WORK,DAYBRIDGE,CHILD CARE PROVIDER,301 INNOVATION BLVD,STATE COLLEGE,PA,16803,CENTRE,STATE COLLEGE AREA,06/30/2017,FY2016-2017,12,0,12,21352,100102710,31,100270742,POINT (-77.84599 40.82962),42,27
PA PKC,SCHOOL DISTRICT OF PHILADELPHIA,THE LIGHTHOUSE INC,THE LIGHTHOUSE FAMILY SCHOOL,CHILD CARE PROVIDER,152 W LEHIGH AVE,PHILADELPHIA,PA,19133,PHILADELPHIA,PHILADELPHIA CITY,06/30/2023,FY2022-2023,40,0,40,4440,100125661,1,100137321,POINT (-75.133198004 39.990941994),42,101
PA PKC,UNITED WAY OF BUCKS COUNTY,EARLY CHILDHOOD EDUCATORS OF PA,EARLY CHILDHOOD EDUCATORS OF PA,CHILD CARE PROVIDER,1200 VETERANS HWY,BRISTOL,PA,19007,BUCKS,NESHAMINY,06/30/2024,FY2023-2024,40,0,40,12603,102859602,1,102280185,POINT (-74.87683 40.11044),42,17
PA PKC,PIC WESTMORELAND/FAYETTE,DENISE K KOOSER DAY CARE INC,SMALL WONDERS CHILDCARE INC,CHILD CARE PROVIDER,FOUR HATFIELD LN,UNIONTOWN,PA,15401,FAYETTE,LAUREL HIGHLANDS,06/30/2017,FY2016-2017,12,0,12,1300,100118308,2,100134894,POINT (-79.72754 39.87793),42,51
PA PKC,CENTRAL SUSQUEHANNA INTERMEDIATE UNIT,,MILTON AREA HIGH SCHOOL,HEAD START,700 MAHONING ST,MILTON,PA,17847,NORTHUMBERLAND,MILTON AREA,06/30/2019,FY2018-2019,18,0,18,1302,100891119,13,100891119,POINT (-76.840703 41.010629),42,97
PA PKC,CHILD CARE SERVICES INC,,OWL HILL LEARNING CENTER,LICENSED NURSERY,506 OWL HILL RD,LITITZ,PA,17543,LANCASTER,WARWICK,06/30/2017,FY2016-2017,0,16,16,1093,100123433,2,100123433,POINT (-76.2757 40.14319),42,71
PA PKC,CARLISLE DAY CARE CENTER INC,,CARLISLE EARLY EDUCATION CENTER,CHILD CARE PROVIDER,100 E POMFRET ST,CARLISLE,PA,17013,CUMBERLAND,CARLISLE AREA,06/30/2021,FY2020-2021,20,0,20,1009,100153183,1,100153183,POINT (-77.186522 40.199683),42,41
PA PKC,FAMILY AND COMMUNITY CHRISTIAN ASSOCIATI,,SAEGERTOWN,HEAD START,18741 STATE HIGHWAY 198,SAEGERTOWN,PA,16433,CRAWFORD,PENNCREST,06/30/2021,FY2020-2021,20,0,20,3534,100133556,8,100133556,POINT (-80.16645 41.72465),42,39
PA PKC,"JEFFERSON-CLARION HEAD START, INC.",,ALLEGHENY-CLARION VALLEY ELEMENTARY,HEAD START,776 ROUTE 58 ROOM 109,FOXBURG,PA,16036,CLARION,ALLEGHENY-CLARION VALLEY,06/30/2020,FY2019-2020,16,0,16,1151,102280149,5,102280149,POINT (-79.67692 41.14704),42,31
