Year,Geographic Region,State,Group Method,Method,Suicides,Group Percentage
2009,Northeastern,New Hampshire,Veteran Method,Other and low-count methods,12,40
2009,Northeastern,New Jersey,Veteran Method,Firearms,43,58.9
2009,Northeastern,New Jersey,Veteran Method,Suffocation,15,20.5
2009,Northeastern,New Jersey,Veteran Method,Other and low-count methods,15,20.5
2009,Northeastern,New York,Veteran Method,Firearms,99,49.3
2009,Northeastern,New York,Veteran Method,Poisoning,34,16.9
2009,Northeastern,New York,Veteran Method,Suffocation,44,21.9
2009,Northeastern,New York,Veteran Method,Other suicide,24,11.9
2009,Northeastern,Pennsylvania,Veteran Method,Firearms,194,69.3
2009,Northeastern,Pennsylvania,Veteran Method,Poisoning,24,8.6
2009,Northeastern,Pennsylvania,Veteran Method,Suffocation,37,13.2
2009,Northeastern,Pennsylvania,Veteran Method,Other suicide,25,8.9
2009,Northeastern,Rhode Island,Veteran Method,Other and low-count methods,18,100
2009,Northeastern,Vermont,Veteran Method,Other and low-count methods,13,100
2009,Midwestern,Region Total,Veteran Method,Firearms,883,65
2009,Midwestern,Region Total,Veteran Method,Poisoning,179,13.2
2009,Midwestern,Region Total,Veteran Method,Suffocation,226,16.6
2009,Midwestern,Region Total,Veteran Method,Other suicide,70,5.2
2009,Midwestern,Illinois,Veteran Method,Firearms,108,60.7
2009,Midwestern,Illinois,Veteran Method,Poisoning,21,11.8
2009,Midwestern,Illinois,Veteran Method,Suffocation,37,20.8
2009,Midwestern,Illinois,Veteran Method,Other suicide,12,6.7
2009,Midwestern,Indiana,Veteran Method,Firearms,87,64.4
2009,Midwestern,Indiana,Veteran Method,Suffocation,22,16.3
2009,Midwestern,Indiana,Veteran Method,Other and low-count methods,26,19.3
2009,Midwestern,Iowa,Veteran Method,Firearms,43,58.1
2009,Midwestern,Iowa,Veteran Method,Poisoning,14,18.9
2009,Midwestern,Iowa,Veteran Method,Other and low-count methods,17,23
2009,Midwestern,Kansas,Veteran Method,Firearms,42,57.5
2009,Midwestern,Kansas,Veteran Method,Suffocation,19,26
2009,Midwestern,Kansas,Veteran Method,Other and low-count methods,12,16.4
2009,Midwestern,Michigan,Veteran Method,Firearms,144,67.9
2009,Midwestern,Michigan,Veteran Method,Poisoning,31,14.6
2009,Midwestern,Michigan,Veteran Method,Suffocation,25,11.8
2009,Midwestern,Michigan,Veteran Method,Other suicide,12,5.7
2009,Midwestern,Minnesota,Veteran Method,Firearms,64,66
2009,Midwestern,Minnesota,Veteran Method,Suffocation,17,17.5
2009,Midwestern,Minnesota,Veteran Method,Other and low-count methods,16,16.5
2009,Midwestern,Missouri,Veteran Method,Firearms,115,68.5
2009,Midwestern,Missouri,Veteran Method,Poisoning,25,14.9
2009,Midwestern,Missouri,Veteran Method,Other and low-count methods,28,16.7
2009,Midwestern,Nebraska,Veteran Method,Other and low-count methods,44,100
2009,Midwestern,North Dakota,Veteran Method,Other and low-count methods,11,100
2009,Midwestern,Ohio,Veteran Method,Firearms,137,65.9
2009,Midwestern,Ohio,Veteran Method,Poisoning,27,13
2009,Midwestern,Ohio,Veteran Method,Suffocation,33,15.9
2009,Midwestern,Ohio,Veteran Method,Other suicide,11,5.3
2009,Midwestern,South Dakota,Veteran Method,Firearms,15,53.6
2009,Midwestern,South Dakota,Veteran Method,Other and low-count methods,13,46.4
2009,Midwestern,Wisconsin,Veteran Method,Firearms,83,63.8
2009,Midwestern,Wisconsin,Veteran Method,Suffocation,24,18.5
2009,Midwestern,Wisconsin,Veteran Method,Other and low-count methods,23,17.7
2009,Southern,Region Total,Veteran Method,Firearms,"1,901",71.5
2009,Southern,Region Total,Veteran Method,Poisoning,297,11.2
2009,Southern,Region Total,Veteran Method,Suffocation,339,12.7
2009,Southern,Region Total,Veteran Method,Other suicide,122,4.6
2009,Southern,Alabama,Veteran Method,Firearms,125,81.2
2009,Southern,Alabama,Veteran Method,Other suicide,12,7.8
2009,Southern,Alabama,Veteran Method,Other and low-count methods,17,11
2009,Southern,Arkansas,Veteran Method,Firearms,58,75.3
2009,Southern,Arkansas,Veteran Method,Other and low-count methods,19,24.7
2009,Southern,Delaware,Veteran Method,Other and low-count methods,13,100
2009,Southern,District of Columbia,Veteran Method,Other and low-count methods,<10, 
2009,Southern,Florida,Veteran Method,Firearms,381,68.2
2009,Southern,Florida,Veteran Method,Poisoning,75,13.4
2009,Southern,Florida,Veteran Method,Suffocation,69,12.3
2009,Southern,Florida,Veteran Method,Other suicide,34,6.1
2009,Southern,Georgia,Veteran Method,Firearms,167,78.4
2009,Southern,Georgia,Veteran Method,Suffocation,26,12.2
2009,Southern,Georgia,Veteran Method,Other and low-count methods,20,9.4
2009,Southern,Kentucky,Veteran Method,Firearms,81,80.2
2009,Southern,Kentucky,Veteran Method,Suffocation,10,9.9
2009,Southern,Kentucky,Veteran Method,Other and low-count methods,10,9.9
2009,Southern,Louisiana,Veteran Method,Firearms,72,80.9
2009,Southern,Louisiana,Veteran Method,Other and low-count methods,17,19.1
2009,Southern,Maryland,Veteran Method,Firearms,55,64
2009,Southern,Maryland,Veteran Method,Suffocation,18,20.9
2009,Southern,Maryland,Veteran Method,Other and low-count methods,13,15.1
2009,Southern,Mississippi,Veteran Method,Firearms,62,81.6
2009,Southern,Mississippi,Veteran Method,Other and low-count methods,14,18.4
2009,Southern,North Carolina,Veteran Method,Firearms,122,67
2009,Southern,North Carolina,Veteran Method,Suffocation,29,15.9
2009,Southern,North Carolina,Veteran Method,Other and low-count methods,31,17
2009,Southern,Oklahoma,Veteran Method,Firearms,77,73.3
2009,Southern,Oklahoma,Veteran Method,Poisoning,13,12.4
2009,Southern,Oklahoma,Veteran Method,Other and low-count methods,15,14.3
2009,Southern,South Carolina,Veteran Method,Firearms,85,69.1
2009,Southern,South Carolina,Veteran Method,Poisoning,17,13.8
2009,Southern,South Carolina,Veteran Method,Other and low-count methods,21,17.1
2009,Southern,Tennessee,Veteran Method,Firearms,124,70.1
2009,Southern,Tennessee,Veteran Method,Poisoning,25,14.1
2009,Southern,Tennessee,Veteran Method,Other and low-count methods,28,15.8
2009,Southern,Texas,Veteran Method,Firearms,313,67.5
2009,Southern,Texas,Veteran Method,Poisoning,60,12.9
2009,Southern,Texas,Veteran Method,Suffocation,73,15.7
2009,Southern,Texas,Veteran Method,Other suicide,18,3.9
2009,Southern,Virginia,Veteran Method,Firearms,126,68.9
2009,Southern,Virginia,Veteran Method,Poisoning,21,11.5
2009,Southern,Virginia,Veteran Method,Suffocation,22,12
2009,Southern,Virginia,Veteran Method,Other suicide,14,7.7
2009,Southern,West Virginia,Veteran Method,Other and low-count methods,53,100
2009,Western,Region Total,Veteran Method,Firearms,"1,153",66.3
2009,Western,Region Total,Veteran Method,Poisoning,242,13.9
2009,Western,Region Total,Veteran Method,Suffocation,242,13.9
2009,Western,Region Total,Veteran Method,Other suicide,103,5.9
2009,Western,Alaska,Veteran Method,Firearms,20,66.7
2009,Western,Alaska,Veteran Method,Other and low-count methods,10,33.3
2009,Western,Arizona,Veteran Method,Firearms,162,78.6
2009,Western,Arizona,Veteran Method,Poisoning,23,11.2
2009,Western,Arizona,Veteran Method,Other and low-count methods,21,10.2
2009,Western,California,Veteran Method,Firearms,349,58.5
2009,Western,California,Veteran Method,Poisoning,98,16.4
2009,Western,California,Veteran Method,Suffocation,93,15.6
2009,Western,California,Veteran Method,Other suicide,57,9.5
2009,Western,Colorado,Veteran Method,Firearms,118,65.9
2009,Western,Colorado,Veteran Method,Suffocation,28,15.6
2009,Western,Colorado,Veteran Method,Other and low-count methods,33,18.4
2009,Western,Hawaii,Veteran Method,Suffocation,11,50
2009,Western,Hawaii,Veteran Method,Other and low-count methods,11,50
2009,Western,Idaho,Veteran Method,Firearms,39,66.1
2009,Western,Idaho,Veteran Method,Suffocation,10,16.9
2009,Western,Idaho,Veteran Method,Other and low-count methods,10,16.9
2009,Western,Montana,Veteran Method,Other and low-count methods,51,100
2009,Western,Nevada,Veteran Method,Firearms,74,71.2
2009,Western,Nevada,Veteran Method,Suffocation,17,16.3
2009,Western,Nevada,Veteran Method,Other and low-count methods,13,12.5
2009,Western,New Mexico,Veteran Method,Firearms,60,75
2009,Western,New Mexico,Veteran Method,Other and low-count methods,20,25
2009,Western,Oregon,Veteran Method,Firearms,89,72.4
2009,Western,Oregon,Veteran Method,Suffocation,16,13
2009,Western,Oregon,Veteran Method,Other and low-count methods,18,14.6
2009,Western,Utah,Veteran Method,Firearms,42,63.6
2009,Western,Utah,Veteran Method,Poisoning,12,18.2
2009,Western,Utah,Veteran Method,Other and low-count methods,12,18.2
2009,Western,Washington,Veteran Method,Firearms,136,67.7
2009,Western,Washington,Veteran Method,Poisoning,26,12.9
2009,Western,Washington,Veteran Method,Suffocation,22,10.9
2009,Western,Washington,Veteran Method,Other suicide,17,8.5
2009,Western,Wyoming,Veteran Method,Other and low-count methods,22,100
2010,All,U.S. Total,Veteran Method,Firearms,"4,431",67.5
2010,All,U.S. Total,Veteran Method,Poisoning,853,13
2010,All,U.S. Total,Veteran Method,Suffocation,953,14.5
2010,All,U.S. Total,Veteran Method,Other suicide,324,4.9
