FIPS,county_name,total_households,living_alone,pct_living_alone
05107,"Phillips County, Arkansas",6180.0,2302.0,37.25
05109,"Pike County, Arkansas",4007.0,1201.0,29.97
05111,"Poinsett County, Arkansas",9082.0,2798.0,30.81
05113,"Polk County, Arkansas",7717.0,2343.0,30.36
05115,"Pope County, Arkansas",23684.0,6719.0,28.37
05117,"Prairie County, Arkansas",3314.0,1128.0,34.04
05119,"Pulaski County, Arkansas",167768.0,60922.0,36.31
05121,"Randolph County, Arkansas",7190.0,2331.0,32.42
05123,"St. Francis County, Arkansas",8102.0,2862.0,35.32
05125,"Saline County, Arkansas",48465.0,11598.0,23.93
05127,"Scott County, Arkansas",3901.0,1119.0,28.68
05129,"Searcy County, Arkansas",2948.0,806.0,27.34
05131,"Sebastian County, Arkansas",51862.0,14769.0,28.48
05133,"Sevier County, Arkansas",5543.0,1487.0,26.83
05135,"Sharp County, Arkansas",6901.0,2001.0,29.0
05137,"Stone County, Arkansas",4731.0,1497.0,31.64
05139,"Union County, Arkansas",14940.0,4911.0,32.87
05141,"Van Buren County, Arkansas",6833.0,2131.0,31.19
05143,"Washington County, Arkansas",93781.0,26050.0,27.78
05145,"White County, Arkansas",28788.0,7798.0,27.09
05147,"Woodruff County, Arkansas",2626.0,871.0,33.17
05149,"Yell County, Arkansas",7751.0,1974.0,25.47
06001,"Alameda County, California",585818.0,145759.0,24.88
06003,"Alpine County, California",435.0,139.0,31.95
06005,"Amador County, California",15745.0,4638.0,29.46
06007,"Butte County, California",83319.0,22726.0,27.28
06009,"Calaveras County, California",17198.0,3883.0,22.58
06011,"Colusa County, California",7432.0,1962.0,26.4
06013,"Contra Costa County, California",408537.0,90023.0,22.04
06015,"Del Norte County, California",9530.0,2550.0,26.76
06017,"El Dorado County, California",75190.0,17830.0,23.71
06019,"Fresno County, California",318322.0,72718.0,22.84
06021,"Glenn County, California",9742.0,2382.0,24.45
06023,"Humboldt County, California",54495.0,17194.0,31.55
06025,"Imperial County, California",47024.0,10622.0,22.59
06027,"Inyo County, California",7849.0,2883.0,36.73
06029,"Kern County, California",277499.0,57539.0,20.73
06031,"Kings County, California",43594.0,7832.0,17.97
06033,"Lake County, California",26487.0,8457.0,31.93
06035,"Lassen County, California",8925.0,2396.0,26.85
06037,"Los Angeles County, California",3363093.0,870733.0,25.89
06039,"Madera County, California",43857.0,7335.0,16.72
06041,"Marin County, California",103709.0,30206.0,29.13
06043,"Mariposa County, California",7597.0,2491.0,32.79
06045,"Mendocino County, California",34557.0,11251.0,32.56
06047,"Merced County, California",82760.0,16063.0,19.41
06049,"Modoc County, California",3403.0,997.0,29.3
06051,"Mono County, California",5473.0,1595.0,29.14
06053,"Monterey County, California",130973.0,26693.0,20.38
06055,"Napa County, California",49218.0,12494.0,25.39
06057,"Nevada County, California",41415.0,11747.0,28.36
06059,"Orange County, California",1066286.0,230727.0,21.64
06061,"Placer County, California",152537.0,35964.0,23.58
06063,"Plumas County, California",8104.0,2395.0,29.55
06065,"Riverside County, California",749976.0,150035.0,20.01
06067,"Sacramento County, California",563856.0,146206.0,25.93
06069,"San Benito County, California",19852.0,3167.0,15.95
06071,"San Bernardino County, California",659928.0,120566.0,18.27
06073,"San Diego County, California",1149157.0,276409.0,24.05
06075,"San Francisco County, California",360842.0,133766.0,37.07
06077,"San Joaquin County, California",237423.0,47441.0,19.98
06079,"San Luis Obispo County, California",108099.0,28802.0,26.64
06081,"San Mateo County, California",264323.0,61291.0,23.19
06083,"Santa Barbara County, California",148032.0,36026.0,24.34
06085,"Santa Clara County, California",650352.0,136590.0,21.0
06087,"Santa Cruz County, California",96487.0,23748.0,24.61
06089,"Shasta County, California",71107.0,19435.0,27.33
06091,"Sierra County, California",1135.0,416.0,36.65
06093,"Siskiyou County, California",18768.0,6370.0,33.94
06095,"Solano County, California",154987.0,36451.0,23.52
06097,"Sonoma County, California",189653.0,51114.0,26.95
06099,"Stanislaus County, California",175747.0,35730.0,20.33
06101,"Sutter County, California",33041.0,7181.0,21.73
06103,"Tehama County, California",24623.0,6492.0,26.37
06105,"Trinity County, California",5483.0,2246.0,40.96
06107,"Tulare County, California",140670.0,24403.0,17.35
06109,"Tuolumne County, California",22831.0,7795.0,34.14
06111,"Ventura County, California",275653.0,59893.0,21.73
06113,"Yolo County, California",76107.0,16687.0,21.93
06115,"Yuba County, California",27567.0,6284.0,22.8
08001,"Adams County, Colorado",181211.0,41158.0,22.71
08003,"Alamosa County, Colorado",6471.0,1944.0,30.04
08005,"Arapahoe County, Colorado",250751.0,69025.0,27.53
08007,"Archuleta County, Colorado",5738.0,1365.0,23.79
08009,"Baca County, Colorado",1586.0,608.0,38.34
08011,"Bent County, Colorado",1808.0,606.0,33.52
08013,"Boulder County, Colorado",133390.0,39309.0,29.47
08014,"Broomfield County, Colorado",30103.0,8181.0,27.18
08015,"Chaffee County, Colorado",9066.0,2604.0,28.72
08017,"Cheyenne County, Colorado",740.0,249.0,33.65
08019,"Clear Creek County, Colorado",4589.0,1657.0,36.11
08021,"Conejos County, Colorado",3087.0,1262.0,40.88
08023,"Costilla County, Colorado",1530.0,481.0,31.44
08025,"Crowley County, Colorado",1315.0,521.0,39.62
08027,"Custer County, Colorado",2181.0,577.0,26.46
08029,"Delta County, Colorado",12263.0,3935.0,32.09
08031,"Denver County, Colorado",322964.0,126265.0,39.1
08033,"Dolores County, Colorado",1185.0,359.0,30.3
08035,"Douglas County, Colorado",131971.0,25143.0,19.05
08037,"Eagle County, Colorado",20084.0,5128.0,25.53
08039,"Elbert County, Colorado",9514.0,1277.0,13.42
08041,"El Paso County, Colorado",276371.0,67550.0,24.44
08043,"Fremont County, Colorado",17677.0,5411.0,30.61
08045,"Garfield County, Colorado",22390.0,5372.0,23.99
08047,"Gilpin County, Colorado",2853.0,1005.0,35.23
08049,"Grand County, Colorado",6238.0,2182.0,34.98
08051,"Gunnison County, Colorado",7759.0,2197.0,28.32
08053,"Hinsdale County, Colorado",478.0,139.0,29.08
08055,"Huerfano County, Colorado",2877.0,1021.0,35.49
08057,"Jackson County, Colorado",645.0,222.0,34.42
08059,"Jefferson County, Colorado",238372.0,65468.0,27.46
08061,"Kiowa County, Colorado",551.0,151.0,27.4
08063,"Kit Carson County, Colorado",2979.0,960.0,32.23
08065,"Lake County, Colorado",2837.0,1105.0,38.95
08067,"La Plata County, Colorado",22691.0,6782.0,29.89
08069,"Larimer County, Colorado",148851.0,36520.0,24.53
08071,"Las Animas County, Colorado",6631.0,2442.0,36.83
08073,"Lincoln County, Colorado",1922.0,701.0,36.47
08075,"Logan County, Colorado",7985.0,2722.0,34.09
08077,"Mesa County, Colorado",63098.0,18479.0,29.29
08079,"Mineral County, Colorado",418.0,145.0,34.69
08081,"Moffat County, Colorado",5187.0,1482.0,28.57
08083,"Montezuma County, Colorado",10520.0,2841.0,27.01
08085,"Montrose County, Colorado",17042.0,4574.0,26.84
08087,"Morgan County, Colorado",10872.0,2722.0,25.04
08089,"Otero County, Colorado",7594.0,2422.0,31.89
08091,"Ouray County, Colorado",2435.0,714.0,29.32
08093,"Park County, Colorado",7688.0,1640.0,21.33
08095,"Phillips County, Colorado",1760.0,529.0,30.06
08097,"Pitkin County, Colorado",8114.0,2969.0,36.59
08099,"Prowers County, Colorado",4507.0,1352.0,30.0
08101,"Pueblo County, Colorado",67090.0,21642.0,32.26
08103,"Rio Blanco County, Colorado",2513.0,718.0,28.57
08105,"Rio Grande County, Colorado",4657.0,1294.0,27.79
08107,"Routt County, Colorado",10279.0,2542.0,24.73
08109,"Saguache County, Colorado",3071.0,1030.0,33.54
08111,"San Juan County, Colorado",337.0,83.0,24.63
08113,"San Miguel County, Colorado",3850.0,1400.0,36.36
08115,"Sedgwick County, Colorado",1049.0,420.0,40.04
08117,"Summit County, Colorado",11750.0,3346.0,28.48
08119,"Teller County, Colorado",11040.0,3489.0,31.6
08121,"Washington County, Colorado",2030.0,606.0,29.85
08123,"Weld County, Colorado",115536.0,24025.0,20.79
08125,"Yuma County, Colorado",3953.0,979.0,24.77
09110,"Capitol Planning Region, Connecticut",386549.0,113137.0,29.27
09120,"Greater Bridgeport Planning Region, Connecticut",117497.0,33400.0,28.43
09130,"Lower Connecticut River Valley Planning Region, Connecticut",73084.0,21707.0,29.7
09140,"Naugatuck Valley Planning Region, Connecticut",177656.0,51715.0,29.11
09150,"Northeastern Connecticut Planning Region, Connecticut",38574.0,9130.0,23.67
09160,"Northwest Hills Planning Region, Connecticut",45976.0,13092.0,28.48
09170,"South Central Connecticut Planning Region, Connecticut",226154.0,70431.0,31.14
