FIPS,elevation_meters,elevation_feet
31045,1128.0,3700.78752
31047,747.0,2450.78748
31049,1150.0,3772.966
31051,435.0,1427.1654
31053,385.0,1263.1234
31055,365.0,1197.5066
31057,1014.0,3326.77176
31059,503.0,1650.26252
31061,641.0,2103.01844
31063,772.0,2532.80848
31065,719.0,2358.92396
31067,396.0,1299.21264
31069,1175.0,3854.987
31071,681.0,2234.25204
31073,773.0,2536.08932
31075,1126.0,3694.22584
31077,632.0,2073.49088
31079,587.0,1925.85308
31081,547.0,1794.61948
31083,652.0,2139.10768
31085,935.0,3067.5854
31087,848.0,2782.15232
31089,615.0,2017.7166
31091,998.0,3274.27832
31093,586.0,1922.57224
31095,442.0,1450.13128
31097,343.0,1125.32812
31099,657.0,2155.51188
31101,1035.0,3395.6693999999998
31103,700.0,2296.588
31105,1502.0,4927.82168
31107,465.0,1525.5906
31109,379.0,1243.43836
31111,929.0,3047.90036
31113,883.0,2896.9817199999998
31115,752.0,2467.19168
31117,1029.0,3375.98436
31119,512.0,1679.79008
31121,515.0,1689.6326
31123,1274.0,4179.79016
31125,511.0,1676.50924
31127,315.0,1033.4646
31129,528.0,1732.28352
31131,357.0,1171.25988
31133,383.0,1256.56172
31135,1034.0,3392.38856
31137,714.0,2342.51976
31139,512.0,1679.79008
31141,509.0,1669.94756
31143,513.0,1683.07092
31145,771.0,2529.52764
31147,315.0,1033.4646
31149,734.0,2408.13656
31151,465.0,1525.5906
31153,358.0,1174.54072
31155,379.0,1243.43836
31157,1201.0,3940.28884
31159,452.0,1482.93968
31161,1170.0,3838.5828
31163,658.0,2158.79272
31165,1436.0,4711.28624
31167,474.0,1555.11816
31169,444.0,1456.69296
31171,892.0,2926.5092799999998
31173,418.0,1371.39112
31175,641.0,2103.01844
31177,393.0,1289.37012
31179,491.0,1610.89244
31181,582.0,1909.44888
31183,645.0,2116.1418
31185,499.0,1637.13916
32001,2129.0,6984.90836
32003,589.0,1932.41476
32005,1813.0,5948.16292
32007,1759.0,5770.99756
32009,1303.0,4274.93452
32011,1821.0,5974.40964
32013,1255.0,4117.4542
32015,1751.0,5744.75084
32017,1492.0,4895.01328
32019,1328.0,4356.9555199999995
32021,1707.0,5600.39388
32023,2794.0,9166.66696
32027,1405.0,4609.5802
32029,1746.0,5728.34664
32031,1827.0,5994.09468
32033,2343.0,7687.0081199999995
32510,1417.0,4648.95028
33001,302.0,990.81368
33003,169.0,554.46196
33005,244.0,800.52496
33007,436.0,1430.44624
33009,498.0,1633.85832
33011,228.0,748.03152
33013,134.0,439.63256
33015,54.0,177.16536
33017,115.0,377.2966
33019,212.0,695.53808
34001,30.0,98.4252
34003,18.0,59.05512
34005,41.0,134.51444
34007,56.0,183.72704
34009,10.0,32.8084
34011,30.0,98.4252
34013,132.0,433.07088
34015,40.0,131.2336
34017,12.0,39.37008
34019,199.0,652.88716
34021,20.0,65.6168
34023,50.0,164.042
34025,29.0,95.14436
34027,271.0,889.10764
34029,28.0,91.86352
34031,79.0,259.18636
34033,14.0,45.93176
34035,19.0,62.33596
34037,185.0,606.9553999999999
34039,31.0,101.70604
34041,318.0,1043.30712
35001,1508.0,4947.50672
35003,2362.0,7749.34408
35005,1083.0,3553.14972
35006,2168.0,7112.86112
35007,1876.0,6154.85584
35009,1350.0,4429.134
35011,1340.0,4396.3256
35013,1193.0,3914.04212
35015,1017.0,3336.61428
35017,1831.0,6007.21804
35019,1501.0,4924.54084
35021,1509.0,4950.78756
35023,1427.0,4681.75868
35025,1188.0,3897.63792
35027,1836.0,6023.62224
35028,2233.0,7326.11572
35029,1302.0,4271.65368
35031,2288.0,7506.56192
35033,2363.0,7752.62492
35035,1943.0,6374.67212
