FIPS,elevation_meters,elevation_feet
30031,1982.0,6502.62488
30033,877.0,2877.29668
30035,1328.0,4356.9555199999995
30037,1212.0,3976.37808
30039,2004.0,6574.80336
30041,826.0,2709.97384
30043,2177.0,7142.38868
30045,1604.0,5262.46736
30047,980.0,3215.2232
30049,1842.0,6043.30728
30051,1001.0,3284.12084
30053,1489.0,4885.17076
30055,808.0,2650.91872
30057,2111.0,6925.85324
30059,1651.0,5416.66684
30061,1505.0,4937.6642
30063,2137.0,7011.1550799999995
30065,1015.0,3330.0526
30067,2076.0,6811.02384
30069,936.0,3070.86624
30071,767.0,2516.40428
30073,1191.0,3907.48044
30075,1204.0,3950.13136
30077,1334.0,4376.64056
30079,777.0,2549.21268
30081,1813.0,5948.16292
30083,756.0,2480.31504
30085,663.0,2175.19692
30087,985.0,3231.6274
30089,1873.0,6145.01332
30091,672.0,2204.72448
30093,1767.0,5797.24428
30095,1205.0,3953.4121999999998
30097,1266.0,4153.54344
30099,1250.0,4101.05
30101,1070.0,3510.4988
30103,907.0,2975.72188
30105,726.0,2381.88984
30107,1367.0,4484.90828
30109,894.0,2933.07096
30111,910.0,2985.5644
31001,587.0,1925.85308
31003,586.0,1922.57224
31005,1139.0,3736.87676
31007,1421.0,4662.07364
31009,798.0,2618.11032
31011,558.0,1830.70872
31013,1285.0,4215.8794
31015,529.0,1735.56436
31017,825.0,2706.6929999999998
31019,688.0,2257.21792
31021,421.0,1381.23364
31023,490.0,1607.6116
31025,389.0,1276.24676
31027,413.0,1354.98692
31029,1014.0,3326.77176
31031,929.0,3047.90036
31033,1306.0,4284.77704
31035,545.0,1788.0578
31037,462.0,1515.74808
31039,406.0,1332.02104
31041,787.0,2582.02108
31043,377.0,1236.87668
