Year,Region,State,Veteran_Suicides,Population_Estimate,Suicide_Rate_per_100000
2006,Midwestern,North Dakota,17,62000,27.4*
2006,Midwestern,Ohio,241,1025000,23.5
2006,Midwestern,South Dakota,24,78000,30.8
2006,Midwestern,Wisconsin,127,460000,27.6
2006,Southern,Alabama,120,425000,28.2
2006,Southern,Arkansas,80,271000,29.5
2006,Southern,Delaware,16,83000,19.3*
2006,Southern,District of Columbia,<10,40000,--
2006,Southern,Florida,503,1819000,27.7
2006,Southern,Georgia,167,743000,22.5
2006,Southern,Kentucky,121,353000,34.3
2006,Southern,Louisiana,68,366000,18.6
2006,Southern,Maryland,86,486000,17.7
2006,Southern,Mississippi,67,234000,28.6
2006,Southern,North Carolina,205,801000,25.6
2006,Southern,Oklahoma,95,360000,26.4
2006,Southern,South Carolina,96,423000,22.7
2006,Southern,Tennessee,172,538000,32
2006,Southern,Texas,400,1716000,23.3
2006,Southern,Virginia,164,788000,20.8
2006,Southern,West Virginia,57,174000,32.8
2006,Western,Alaska,27,75000,36
2006,Western,Arizona,201,542000,37.1
2006,Western,California,543,2216000,24.5
2006,Western,Colorado,126,425000,29.6
2006,Western,Hawaii,15,127000,11.8*
2006,Western,Idaho,42,131000,32.1
2006,Western,Montana,50,104000,48.1
2006,Western,Nevada,104,231000,45
2006,Western,New Mexico,61,182000,33.5
2006,Western,Oregon,122,372000,32.8
2006,Western,Utah,48,152000,31.6
2006,Western,Washington,148,632000,23.4
2006,Western,Wyoming,20,51000,39.2
2006,All,U.S. Total,6050,24252000,24.9
2007,Northeastern,Connecticut,35,262000,13.4
2007,Northeastern,Maine,40,145000,27.6
2007,Northeastern,Massachusetts,71,454000,15.6
2007,Northeastern,New Hampshire,41,125000,32.8
2007,Northeastern,New Jersey,78,518000,15.1
2007,Northeastern,New York,179,1088000,16.5
2007,Northeastern,Pennsylvania,262,1059000,24.7
2007,Northeastern,Rhode Island,21,82000,25.6
2007,Northeastern,Vermont,17,49000,34.7*
2007,Midwestern,Illinois,166,832000,20
2007,Midwestern,Indiana,145,510000,28.4
2007,Midwestern,Iowa,63,261000,24.1
2007,Midwestern,Kansas,77,245000,31.4
2007,Midwestern,Michigan,205,792000,25.9
2007,Midwestern,Minnesota,107,415000,25.8
2007,Midwestern,Missouri,139,544000,25.6
2007,Midwestern,Nebraska,30,153000,19.6
2007,Midwestern,North Dakota,23,58000,39.7
2007,Midwestern,Ohio,265,1008000,26.3
2007,Midwestern,South Dakota,19,80000,23.8*
2007,Midwestern,Wisconsin,113,467000,24.2
2007,Southern,Alabama,107,423000,25.3
2007,Southern,Arkansas,81,270000,30
2007,Southern,Delaware,11,77000,14.3*
2007,Southern,District of Columbia,<10,37000,--
2007,Southern,Florida,544,1789000,30.4
2007,Southern,Georgia,200,740000,27
2007,Southern,Kentucky,128,348000,36.8
2007,Southern,Louisiana,83,354000,23.4
2007,Southern,Maryland,91,472000,19.3
2007,Southern,Mississippi,75,228000,32.9
2007,Southern,North Carolina,196,804000,24.4
2007,Southern,Oklahoma,103,350000,29.4
2007,Southern,South Carolina,112,421000,26.6
2007,Southern,Tennessee,156,544000,28.7
2007,Southern,Texas,406,1708000,23.8
2007,Southern,Virginia,178,780000,22.8
2007,Southern,West Virginia,66,172000,38.4
2007,Western,Alaska,28,72000,38.9
2007,Western,Arizona,201,540000,37.2
2007,Western,California,536,2135000,25.1
2007,Western,Colorado,162,425000,38.1
2007,Western,Hawaii,21,127000,16.5
2007,Western,Idaho,42,129000,32.6
2007,Western,Montana,48,103000,46.6
2007,Western,Nevada,96,232000,41.4
2007,Western,New Mexico,90,178000,50.6
2007,Western,Oregon,136,364000,37.4
2007,Western,Utah,58,161000,36
2007,Western,Washington,179,631000,28.4
2007,Western,Wyoming,25,49000,51
2007,All,U.S. Total,6260,23810000,26.3
2008,Northeastern,Connecticut,42,245000,17.1
2008,Northeastern,Maine,37,143000,25.9
2008,Northeastern,Massachusetts,71,438000,16.2
2008,Northeastern,New Hampshire,34,119000,28.6
2008,Northeastern,New Jersey,89,499000,17.8
2008,Northeastern,New York,216,1063000,20.3
2008,Northeastern,Pennsylvania,300,1034000,29
2008,Northeastern,Rhode Island,17,81000,21.0*
2008,Northeastern,Vermont,21,52000,40.4
