Year,Suicide_Deaths,Population_Estimate,Unadjusted_Rate_per_100000,Age_Adjusted_Rate_per_100000,Male_Suicide_Deaths,Male_Population,Male_Unadjusted_Rate,Male_Age_Adjusted_Rate,Female_Suicide_Deaths,Female_Population,Female_Unadjusted_Rate,Female_Age_Adjusted_Rate
2019,75+,2775,18031391,15.3898276622142,2213,4971657,44.5123225516161,.,.,.,.,
2019,All,39351,235213278,16.7299228745071,29898,106354710,28.1115899803591,All,9455,128858568,7.33750199676284,
2020,18-34,12580,73854356,17.0335247388793,10167,36944240,27.5198515384266,18-34,2413,36910116,6.53750316038021,
2020,35-54,12981,78964511,16.4390304398896,9775,37911710,25.7835903471513,35-54,3206,41052801,7.80945495046733,
2020,55-74,9630,67571577,14.2515543184674,7122,29091850,24.4810831899656,55+,3021,51061037,5.91644858289893,
2020,75+,2824,17358280,16.2688930009195,2311,4776970,48.3779466900567,.,.,.,.,
2020,All,37951,237748724,15.9626513915591,29312,108724770,26.9598178961427,All,8640,129023954,6.69643095885901,
2021,18-34,13327,73769160,18.0658150370697,10810,36910071,29.2873996368092,18-34,2518,36859089,6.83142223075562,
2021,35-54,13556,79202464,17.115629129922,10314,38088366,27.0791348728376,35-54,3244,41114098,7.89023755306513,
2021,55-74,10113,68698052,14.7209414322258,7515,29795917,25.2215764998943,55+,3151,51681312,6.09698143886131,
2021,75+,3034,17749868,17.0930848612508,2483,4970691,49.9528134015975,.,.,.,.,
2021,All,39983,239419544,16.6999733321687,31079,109765045,28.3141140241869,All,8913,129654499,6.87442400282616,
2022,18-34,12767,74049226,17.2412335545546,10124,37060546,27.3174604605124,18-34,2643,36988680,7.14542935838749,
2022,35-54,14288,79605645,17.9484758901206,10889,38336195,28.4039665386719,35-54,3399,41269450,8.2361165462588,
2022,55-74,10988,68998872,15.9248980186227,8230,30145969,27.3004991148236,55+,3398,52261259,6.50194822133926,
2022,75+,3438,18819344,18.2684369869641,2798,5410988,51.7095953640999,.,.,.,.,
2022,All,41449,241473087,17.1650598892621,32009,110953698,28.8489708562936,All,9440,130519389,7.23264188740571,
2023,18-34,12438,74354788,16.7279072868851,9957,37245674,26.7333059941404,18-34,2483,37109114,6.69107863906425,
2023,35-54,14436,80189474,18.0023627539944,11003,38672345,28.4518562295615,35-54,3441,41517129,8.28814535802801,
2023,55-74,11102,69560695,15.9601625601929,8271,30620925,27.0109410476659,55+,3544,52915387,6.69748479775836,
2023,75+,3378,19800077,17.0605397140627,2676,5824460,45.9441733654279,.,.,.,.,
2023,All,41313,243905034,16.9381497882491,31868,112363404,28.3615473237176,All,9468,131541630,7.1977213601504,
