Year,Quarter,Dwelling Unit,City,Zip,Paint Inspection/Risk Assessment Date,Clear/Close Date,Property Status,Year Built,Finished Square Feet,Number of Rooms,Number of Rooms Treated,Windows,Location of Work,Type of Work,Relocation Cost,HUD Lead Hazard Reduction Cost,Match LHR Cost,Total LHR cost,Other Rehab Cost,Local government cost,Income,Occupants Younger Than 6,Occupants 6 and Older,BLL <10,BLL 10-20,BLL > 20,BLL Unknown,BLL Greater Than 5,New Georeferenced Column,Date Updated
2010,Third Quarter,Single Family,St. Paul,55104.0,May 24 2010,August 03 2010,Owner Occupied,1926,1827,11,10,,Only Interior,Paint Stabilization and Window replacement,113.0,4200,5135,,0.0,,,2.0,1.0,1.0,,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2017,Second Quarter,,St. Paul,55106.0,March 06 2017,May 03 2017,Owner Occupied,1915,1144,11,7,15.0,Only Interior,Paint Stabilization and Window replacement,0.0,3048,3048,,0.0,,30-50,2.0,3.0,,,,,0.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2012,Second Quarter,Unit #1,St. Paul,55102.0,April 24 2012,May 30 2012,Occupied Rental,1880,1092,7,7,12.0,Only Interior,Paint Stabilization and Window replacement,113.0,2153,2153,,0.0,,30-50,2.0,2.0,1.0,,,1.0,,"St. Paul 55102
(44.94339, -93.09648)","May 22, 2025"
2019,Fourth Quarter,,Saint Paul,55106.0,August 09 2019,October 12 2019,Owner Occupied,1933,1145,13,3,5.0,Only Interior,Paint Stabilization and Window replacement,0.0,1172,1758,,0.0,,30-50,0.0,1.0,,,,,0.0,"Saint Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2016,Third Quarter,,St. Paul,55104.0,June 22 2016,September 13 2016,Occupied Rental,1913,884,8,4,13.0,Only Interior,Stabilization and Window replacement,269.0,2232,2233,,890.0,,30-50,2.0,1.0,,,,,0.0,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2021,Third Quarter,,Roseville,55113.0,April 19 2021,August 18 2021,Owner Occupied,1952,1277,15,9,19.0,Only Interior,Paint Stabilization and Window replacement,0.0,4900,11481,,698.0,,30-50,1.0,4.0,,,,,,"Roseville 55113
(45.02253, -93.14931)","May 22, 2025"
2021,Third Quarter,,Saint Paul,55107.0,April 12 2021,August 25 2021,Owner Occupied,1921,1406,17,8,20.0,Only Interior,Paint Stabilization and Window replacement,0.0,3554,3554,,2255.0,,<30,1.0,3.0,,,,,,"Saint Paul 55107
(44.93592, -93.07405)","May 22, 2025"
2013,First Quarter,Single Family,St. Paul,55104.0,December 10 2012,February 08 2013,Occupied Rental,1921,1393,15,10,21.0,Interior Only,Window replacement and Paint stabilization,113.0,3309,3310,,0.0,,30-50,3.0,2.0,1.0,,,1.0,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2019,Fourth Quarter,3,Saint Paul,55104.0,July 11 2019,October 31 2019,Occupied Rental,1915,1000,6,6,15.0,Only Interior,Paint Stabilization and Window replacement,0.0,2507,3761,,1545.0,,<30,1.0,1.0,,,,,0.0,"Saint Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2010,Fourth Quarter,Unit #1,St. Paul,55104.0,July 22 2010,November 24 2010,Vacant,1891,896,10,2,,Only Interior,Paint Stabilization and Window replacement,0.0,754,754,,0.0,,,0.0,0.0,,,,,,"St. Paul 55104
(44.94963, -93.18861)","May 22, 2025"
2014,Second Quarter,Single Family,St. Paul,55106.0,April 14 2014,May 20 2014,Owner Occupied,1955,1194,7,6,17.0,Interior Only,Window replacement and Paint stabilization,0.0,3133,3133,,0.0,,50-80,3.0,3.0,2.0,,,1.0,,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
2018,Third Quarter,,St. Paul,55106.0,April 09 2018,September 27 2018,Owner Occupied,1939,1220,13,11,27.0,Interior and Exterior porch,Paint Stabilization and Window replacement,407.0,4200,7899,,0.0,,30-50,1.0,4.0,,,,,0.0,"St. Paul 55106
(44.95674, -93.06096)","May 22, 2025"
