pwsid,violation_id,facility_id,population_served_count,npm_candidate,pws_activity_code,pws_deactivation_date,primary_source_code,pop_cat_5_code,primacy_agency_code,epa_region,pws_type_code,violation_code,violation_category_code,is_health_based_ind,contaminant_code,compliance_status_code,viol_measure,unit_of_measure,state_mcl,is_major_viol_ind,severity_ind_cnt,compl_per_begin_date,compl_per_end_date,latest_enforcement_id,rtc_enforcement_id,rtc_date,public_notification_tier,originator_code,sample_result_id,corrective_action_id,rule_code,rule_group_code,rule_family_code
MA2208000,101,,7602,N,A,,GW,3,MA,1,CWS,3,MR,N,1030,R,,,,N,,2022-07-01 00:00:00,2022-09-30 00:00:00,33.0,33.0,2023-03-15 00:00:00,3,S,,,500,500,500
MA2208000,101,,7602,Y,A,,GW,3,MA,1,CWS,3,MR,N,1030,R,,,,N,,2022-07-01 00:00:00,2022-09-30 00:00:00,33.0,33.0,2023-03-15 00:00:00,3,S,,,500,500,500
MA2208000,411,,7602,N,A,,GW,3,MA,1,CWS,3,MR,N,1030,R,,,,N,,2023-04-01 00:00:00,2023-06-30 00:00:00,38.0,38.0,2024-02-29 00:00:00,3,S,,,500,500,500
MA2287005,17,,185,N,A,,GW,1,MA,1,NTNCWS,3,MR,N,1030,K,,,,N,,2020-07-01 00:00:00,2020-09-30 00:00:00,5.0,,,3,S,,,500,500,500
MA2287005,17,,185,N,A,,GW,1,MA,1,NTNCWS,3,MR,N,1030,R,,,,N,,2020-07-01 00:00:00,2020-09-30 00:00:00,8.0,8.0,2021-08-18 00:00:00,3,S,,,500,500,500
MA3030001,14,,90330,N,A,,SW,4,MA,1,CWS,3,MR,N,1030,K,,,,N,,2022-10-01 00:00:00,2022-12-31 00:00:00,12.0,,,3,S,,,500,500,500
MA3030001,14,,90330,Y,A,,SW,4,MA,1,CWS,3,MR,N,1030,K,,,,N,,2022-10-01 00:00:00,2022-12-31 00:00:00,12.0,,,3,S,,,500,500,500
MA3038008,63,,450,N,A,,GW,1,MA,1,NTNCWS,3,MR,N,1030,K,,,,N,,2021-01-01 00:00:00,2021-12-31 00:00:00,,,,3,S,,,500,500,500
MA3038008,63,,485,N,A,,GW,1,MA,1,NTNCWS,3,MR,N,1030,K,,,,N,,2021-01-01 00:00:00,2021-12-31 00:00:00,,,,3,S,,,500,500,500
MA3038008,63,,486,N,A,,GW,1,MA,1,NTNCWS,3,MR,N,1030,K,,,,N,,2021-01-01 00:00:00,2021-12-31 00:00:00,,,,3,S,,,500,500,500
MA3078000,53,,500,Y,A,,GW,1,MA,1,NTNCWS,53,MR,N,1030,O,,,,,,2025-01-01 00:00:00,,47.0,,,3,S,,,500,500,500
MA4122000,30,,14984,N,A,,GU,4,MA,1,CWS,3,MR,N,1030,K,,,,N,,2024-01-01 00:00:00,2024-03-31 00:00:00,24.0,,,3,S,,,500,500,500
MA4122000,30,,14984,Y,A,,GU,4,MA,1,CWS,3,MR,N,1030,K,,,,N,,2024-01-01 00:00:00,2024-03-31 00:00:00,24.0,,,3,S,,,500,500,500
MA4122000,45,,14984,Y,A,,GU,4,MA,1,CWS,3,MR,N,1030,K,,,,N,,2025-04-01 00:00:00,2025-06-30 00:00:00,25.0,,,3,S,,,500,500,500
MA4172001,92V0005,,87,N,I,2017-12-31 00:00:00,GW,1,MA,1,CWS,3,MR,N,1030,I,0.0,,0.0,Y,,1990-10-01 00:00:00,1990-12-31 00:00:00,920.0,,2017-12-31 00:00:00,3,S,,,500,500,500
MA4197000,112,,27703,Y,A,,GW,4,MA,1,CWS,3,MR,N,1030,K,,,,N,,2025-04-01 00:00:00,2025-06-30 00:00:00,40.0,,,3,S,,,500,500,500
MA4211001,1092,,434,N,A,,GW,1,MA,1,CWS,3,MR,N,1030,K,,,,N,,2022-04-01 00:00:00,2022-06-30 00:00:00,29.0,,,3,S,,,500,500,500
MA4211001,25,,434,N,A,,GW,1,MA,1,CWS,3,MR,N,1030,K,,,,N,,2022-04-01 00:00:00,2022-06-30 00:00:00,,,,3,S,,,500,500,500
MA4211001,25,,434,Y,A,,GW,1,MA,1,CWS,3,MR,N,1030,K,,,,N,,2022-04-01 00:00:00,2022-06-30 00:00:00,,,,3,S,,,500,500,500
MA4264000,104,,19297,N,A,,SW,4,MA,1,CWS,3,MR,N,1030,K,,,,N,,2024-01-01 00:00:00,2024-03-31 00:00:00,42.0,,,3,S,,,500,500,500
MA4264000,104,,19760,Y,A,,SW,4,MA,1,CWS,3,MR,N,1030,K,,,,N,,2024-01-01 00:00:00,2024-03-31 00:00:00,42.0,,,3,S,,,500,500,500
MA4296000,22,,6082,N,A,,GW,3,MA,1,CWS,3,MR,N,1030,K,,,,N,,2022-04-01 00:00:00,2022-06-30 00:00:00,27.0,,,3,S,,,500,500,500
MA4296000,22,,6082,N,A,,GW,3,MA,1,CWS,3,MR,N,1030,K,,,,N,,2022-04-01 00:00:00,2022-06-30 00:00:00,,,,3,S,,,500,500,500
MA4296000,22,,6082,Y,A,,GW,3,MA,1,CWS,3,MR,N,1030,K,,,,N,,2022-04-01 00:00:00,2022-06-30 00:00:00,,,,3,S,,,500,500,500
MA4296011,98,,150,N,A,,GW,1,MA,1,NTNCWS,3,MR,N,1030,K,,,,N,,2023-10-01 00:00:00,2023-12-31 00:00:00,31.0,,,3,S,,,500,500,500
MA4296011,98,,150,Y,A,,GW,1,MA,1,NTNCWS,3,MR,N,1030,K,,,,N,,2023-10-01 00:00:00,2023-12-31 00:00:00,,,,3,S,,,500,500,500
