FIPS,total_employees,mining_employees,mining_establishments,bar_establishments,bar_employees,extraction_employment_pct
46129,1822,0.0,0.0,6.0,27.0,0.0
46135,10850,0.0,0.0,16.0,124.0,0.0
46137,314,0.0,0.0,0.0,0.0,0.0
47001,43179,0.0,0.0,0.0,0.0,0.0
47003,14318,21.0,3.0,0.0,0.0,0.14666852912417935
47005,3310,62.0,3.0,0.0,0.0,1.8731117824773416
47007,862,0.0,0.0,0.0,0.0,0.0
47009,42200,0.0,0.0,7.0,41.0,0.0
47011,40707,0.0,0.0,0.0,0.0,0.0
47013,6796,23.0,4.0,0.0,0.0,0.33843437316068276
47015,1631,29.0,3.0,0.0,0.0,1.7780502759043533
47017,5469,0.0,0.0,0.0,0.0,0.0
47019,8774,0.0,0.0,0.0,0.0,0.0
47021,6938,0.0,0.0,0.0,0.0,0.0
47023,3297,0.0,0.0,0.0,0.0,0.0
47025,8121,0.0,0.0,0.0,0.0,0.0
47027,1079,0.0,0.0,0.0,0.0,0.0
47029,5700,0.0,0.0,0.0,0.0,0.0
47031,19768,0.0,0.0,0.0,0.0,0.0
47033,2155,0.0,0.0,0.0,0.0,0.0
47035,14331,86.0,8.0,3.0,23.0,0.6000976903216803
47037,445200,100.0,6.0,106.0,1664.0,0.022461814914645106
47039,3317,0.0,0.0,0.0,0.0,0.0
47041,4115,0.0,0.0,0.0,0.0,0.0
47043,14631,0.0,0.0,0.0,0.0,0.0
47045,12624,0.0,0.0,0.0,0.0,0.0
47047,7844,0.0,0.0,0.0,0.0,0.0
47049,2580,12.0,4.0,0.0,0.0,0.46511627906976744
48017,1291,0.0,0.0,0.0,0.0,0.0
48021,14979,169.0,7.0,6.0,22.0,1.1282462113625742
48029,743656,2703.0,173.0,282.0,2836.0,0.36347450971954776
48095,575,19.0,3.0,0.0,0.0,3.304347826086956
48113,1506838,3628.0,300.0,225.0,3900.0,0.24076908068418768
47129,1281,0.0,0.0,0.0,0.0,0.0
47055,7960,0.0,0.0,0.0,0.0,0.0
47051,12421,120.0,7.0,0.0,0.0,0.9661057885838499
47053,11274,0.0,0.0,0.0,0.0,0.0
47057,2833,0.0,0.0,0.0,0.0,0.0
47059,23425,0.0,0.0,0.0,0.0,0.0
47061,1268,0.0,0.0,0.0,0.0,0.0
47063,27704,0.0,0.0,0.0,0.0,0.0
47065,190236,97.0,7.0,22.0,215.0,0.05098929750415274
47067,393,0.0,0.0,0.0,0.0,0.0
47069,5144,0.0,0.0,0.0,0.0,0.0
47071,7583,0.0,0.0,0.0,0.0,0.0
47073,9719,0.0,0.0,0.0,0.0,0.0
47075,4771,0.0,0.0,0.0,0.0,0.0
47077,6429,0.0,0.0,0.0,0.0,0.0
47079,9115,0.0,0.0,0.0,0.0,0.0
47081,2671,0.0,0.0,0.0,0.0,0.0
47083,1007,0.0,0.0,0.0,0.0,0.0
